timestamp,action,price,position_size,reason,decision_source,cash_before,btc_before,portfolio_value_before,rsi,atr,trend,trade_amount,btc_traded,type,cash_after,btc_after,portfolio_value_after,realized_profit,profit
2025-10-25,BUY,110766.6,10.0,Bullish momentum with room to grow,RULES,10473.642553909958,0.7971613219759557,98560.19183742322,44.107380911191015,617.1571428571416,BULLISH,1047.3642553909958,0.009455596320470211,BUY,9426.278298518962,0.8066169182964259,98772.49184069186,29897.69576829836,
2025-10-26,BUY,111715.98,10.0,Bullish momentum with room to grow,RULES,9426.278298518962,0.8066169182964259,98772.49184069186,54.36920388871453,266.712142857145,BULLISH,942.6278298518963,0.008437717055804338,BUY,8483.650468667067,0.8150546353522302,99538.27781058411,29897.69576829836,
2025-11-03,SELL,109757.11,10.0,Bearish momentum building,RULES,8483.650468667067,0.8150546353522302,98118.54229181042,40.474702986595176,490.8685714285696,BEARISH,8945.804126836463,0.08150546353522303,SELL,17429.45459550353,0.7335491718170072,97941.69173703168,37995.13484826811,8097.439079969756
2025-11-06,BUY,103677.72,20.0,short,AI,17429.45459550353,0.7335491718170072,91198.31357486059,77.9508178600292,742.5621428571425,BEARISH,3485.890919100706,0.03362237247405427,BUY,13943.563676402822,0.7671715442910615,93482.1602373791,37995.13484826811,
2025-11-09,SELL,101797.74,8.0,Strong downtrend confirmation,RULES,13943.563676402822,0.7671715442910615,92742.16958090225,37.70754662592624,465.91714285714363,BEARISH,6247.706352091198,0.06137372354328492,SELL,20191.270028494022,0.7057978207477765,92039.89307754279,43127.35610624708,5132.221257978972
2025-11-10,BUY,106314.96,20.0,short,AI,20191.270028494022,0.7057978207477765,92039.89307754279,88.72380520318983,879.018571428572,BEARISH,4038.2540056988046,0.0379838736307553,BUY,16153.016022795218,0.7437816943785318,95228.13710938106,43127.35610624708,
2025-11-11,BUY,106139.83,10.0,Bullish momentum with room to grow,RULES,16153.016022795218,0.7437816943785318,95228.13710938106,51.26340792424278,704.2485714285732,BULLISH,1615.3016022795218,0.015218618705904482,BUY,14537.714420515696,0.7590003130844363,95097.87862124454,43127.35610624708,
2025-11-16,SELL,95362.0,8.0,Strong downtrend confirmation,RULES,14537.714420515696,0.7590003130844363,86756.10086029631,39.400372880990574,460.7821428571416,BEARISH,5790.383028508641,0.0607200250467549,SELL,20328.09744902434,0.6982802880376814,86917.50227687371,47754.72198111447,4627.365874867385
2025-11-23,SELL,84971.74,10.0,Bearish momentum building,RULES,20328.09744902434,0.6982802880376814,79500.3201777173,67.88933571766398,543.3328571428594,BEARISH,5933.409108226298,0.06982802880376814,SELL,26261.506557250636,0.6284522592339132,79662.1885312873,51655.32134443833,3900.599363323863
2025-11-26,SELL,87573.51,10.0,Bearish momentum building,RULES,26261.506557250636,0.6284522592339132,81628.1505957584,51.79374870298172,757.3699999999995,BEARISH,5503.577020854369,0.06284522592339133,SELL,31765.083578105005,0.5656070333105219,81297.27676579432,54532.74770956764,2877.4263651293054
